,gen,max_speed_indi,max_matSelectionProb_indi,max_vision_indi,avg_speed_indi,avg_matSelectionProb_indi,avg_vision_indi,population_indi,max_speed_pred,max_matSelectionProb_pred,max_vision_pred,avg_speed_pred,avg_matSelectionProb_pred,avg_vision_pred,population_pred
0,1,8,0.6,20,2.9838709677419355,0.5027419354838709,15.338709677419354,62,3,0.5,19,1.9705882352941178,0.49676470588235294,14.588235294117647,34
1,2,8,0.65,20,3.1666666666666665,0.5083333333333334,15.9,30,5,0.54,19,2.1153846153846154,0.4896153846153846,15.115384615384615,26
2,3,4,0.5,20,2.9285714285714284,0.4914285714285715,16.571428571428573,14,4,0.5,19,1.9166666666666667,0.4920833333333334,15.708333333333334,24
3,4,4,0.5,20,2.25,0.4875,17.25,4,4,0.5,19,2.111111111111111,0.5,16.5,18
